"island","presence","sex","svl","Jaw.length","Width","Height","Outlever","Open.inlever","Close.inlever","Head.length"
"yin",1,"m",59.01,16.564,9.386,6.59,14.219,1.821,3.503,11.449
"yin",1,"f",47.69,12.543,7.728,5.13,10.637,1.451,2.568,8.898
"yin",1,"f",49.54,12.18,7.173,5.11,10.755,1.089,2.431,8.324
"yin",1,"m",53.9,15.32,8.579,5.99,13.101,1.8,3.354,10.488
"hornet",0,"f",48.93,11.484,6.943,4.89,10.213,0.942,2.361,8.304
"hornet",0,"m",56.51,16.598,8.704,6.28,14.29,1.873,3.336,10.879
"hornet",0,"m",60.54,17.193,9.507,6.84,15.015,1.662,3.606,11.539
"hornet",0,"f",50.61,12.761,6.809,4.87,11.217,1.151,2.56,8.623
"hornet",0,"m",55.11,16.734,9.373,5.97,14.248,1.962,3.408,11.037
"yin",1,"f",49.24,12.447,7.392,4.96,11.021,1.13,2.269,8.419
"hook",1,"m",60.09,17.62,9.458,6.17,15.172,1.935,3.648,11.76
"hook",1,"m",59.12,16.991,9.035,6.39,14.794,1.747,3.606,11.306
"hook",1,"m",57.78,16.059,8.745,6.2,14.123,1.515,3.74,11.689
"hook",1,"f",48.99,12.157,7.232,5.04,10.64,1.055,2.399,8.173
"hook",1,"m",55.19,15.148,8.485,6.12,13.195,1.485,3.08,10.322
"hook",1,"f",45.38,11.969,6.624,4.59,10.442,1.204,2.257,8.44
"yang",1,"f",49.86,11.984,6.87,4.86,10.71,0.975,2.46,8.822
"yang",1,"m",57.59,17.358,9.51,6.71,15.218,1.699,3.454,11.435
"yang",1,"m",57.28,17.123,8.611,6.12,15.191,1.577,3.598,11.552
"yang",1,"m",59.65,16.687,8.552,5.8,14.828,1.433,3.369,11.335
"n.twin",1,"m",58.13,16.786,8.838,6.34,14.819,1.6,3.705,11.468
"n.twin",1,"m",60.17,18.014,9.306,6.28,15.749,1.844,3.767,11.658
"n.twin",1,"m",58.04,16.836,8.878,5.98,14.596,1.781,3.33,10.885
"n.twin",1,"m",59.82,18.243,9.216,6.48,15.888,2.045,3.839,12.28
"n.twin",1,"m",61.68,17.852,9.584,6.5,15.612,1.789,3.707,11.845
"s.twin",0,"m",57.43,16.763,8.711,5.88,14.578,1.746,3.591,10.974
"s.twin",0,"m",57.03,17.118,8.779,6.2,14.802,1.961,3.595,11.403
"s.twin",0,"f",44.51,11.648,6.476,4.36,10.277,1.129,2.386,8.529
"s.twin",0,"f",46.24,11.543,6.549,4.75,10.378,0.862,2.08,8.187
"s.twin",0,"m",55.93,16.589,8.342,5.86,14.58,1.684,3.46,10.88
"lizard",1,"m",61.05,17.119,9.149,6.64,14.871,1.832,3.709,11.288
"lizard",1,"m",58.12,17.355,8.432,5.97,15.225,1.766,3.471,11.668
"lizard",1,"m",59.39,17.254,9.033,6.49,15.291,1.52,3.71,11.515
"lizard",1,"m",56.37,16.542,8.964,5.73,14.159,1.925,3.358,11.504
"lizard",1,"m",57.96,16.372,8.437,6.27,14.236,1.704,3.333,11.257
"lizard",1,"f",46.47,11.793,6.664,4.46,10.338,1.127,2.14,8.068
"lizard",1,"m",59.84,16.878,9.356,6.18,14.81,1.553,3.437,11.829
"lizard",1,"f",48.34,12.14,6.773,4.96,10.723,1.14,2.471,8.847
"osprey",0,"f",45.64,11.691,6.645,4.46,10.286,1.15,2.406,8.946
"osprey",0,"m",54.78,16.215,7.914,5.61,14.705,1.213,3.322,11.425
"osprey",0,"f",44.8,10.964,6.131,4.35,9.731,0.976,2.122,8.687
"osprey",0,"m",50.45,14.832,7.661,5.39,13.076,1.416,3.025,9.565
"osprey",0,"m",54.45,16.343,8.486,5.76,14.551,1.448,3.433,10.712
"osprey",0,"m",53.02,16.152,8.343,6.04,14.312,1.466,3.561,10.857
"yang",1,"m",56.61,16.032,8.553,5.62,13.906,1.683,3.199,11.314
"yang",1,"m",50.27,13.462,7.744,5.28,12.357,0.775,2.966,9.765
"yang",1,"m",55.95,16.486,8.36,5.55,14.501,1.621,3.167,11.326
"yang",1,"f",46.58,11.577,6.552,4.47,10.368,0.925,2.071,7.661
"yang",1,"m",52.81,15.647,8.268,5.72,13.656,1.62,3.236,10.606
"crescent",0,"f",50.32,13.208,7.464,4.85,11.579,1.225,2.523,9.791
"crescent",0,"m",61.24,18.225,9.163,6.62,15.983,1.909,3.638,13.089
"crescent",0,"m",58.84,17.149,8.771,6.18,15.032,1.695,3.611,11.935
"crescent",0,"m",60.39,17.605,9.247,6.58,15.451,1.758,3.593,11.543
"crescent",0,"m",58.42,17.857,9.29,5.94,15.67,1.798,3.545,12.165
"n.twin",1,"f",49.5,13.117,7.077,5.09,11.455,1.299,2.64,9.071
"n.twin",1,"m",62.58,18.023,9.237,7.12,15.76,1.829,3.943,12.245
"n.twin",1,"m",58.86,18.523,8.864,6.35,16.366,1.738,4.118,8.087
"n.twin",1,"f",47.96,12.801,7.045,4.96,10.954,1.435,2.523,8.812
"n.twin",1,"f",49.39,12.913,6.94,4.67,11.286,1.292,2.515,9.858
"n.twin",1,"m",55.78,16.126,8.099,5.57,14.229,1.518,3.468,10.725
"yin",1,"f",46.75,12.49,6.752,4.85,10.964,1.204,2.623,8.513
"yin",1,"m",59.98,17.671,9.336,6.12,15.691,1.551,3.569,11.385
"yin",1,"m",54.43,14.297,7.822,5.6,12.715,1.203,3.087,9.366
"hook",1,"m",53.83,15.7,8.394,5.34,13.687,1.614,3.176,10.908
"hook",1,"m",52.77,15.287,8.26,5.33,13.237,1.6,3.042,10.93
"hook",1,"f",46.1,12.312,6.994,4.51,10.755,1.234,2.498,8.446
"hook",1,"f",47.4,12.821,7.337,4.99,11.022,1.406,2.308,8.698
"yin",1,"f",51.98,13.481,7.183,5.32,11.699,1.398,2.486,9.512
"s.twin",0,"f",48.58,12.551,6.946,4.68,10.782,1.397,2.51,9.072
"s.twin",0,"m",55.09,15.95,8.425,5.5,14.478,1.104,3.654,11.438
"s.twin",0,"m",57.37,16.806,8.872,5.2,14.549,1.832,3.586,11.515
"yang",1,"f",49.29,12.987,7.17,4.77,11.284,1.332,2.652,8.984
"yang",1,"f",46.62,11.914,6.724,4.7,10.345,1.202,2.181,8.438
"yang",1,"m",58.03,16.722,8.574,5.83,14.727,1.625,3.595,12.179
"yang",1,"f",45.93,11.686,6.615,4.5,10.198,1.145,2.238,8.491
"yang",1,"m",55.15,15.971,7.846,5.74,13.955,1.726,3.226,10.924
"yang",1,"f",49.86,13.009,7.194,4.84,11.464,1.199,2.493,8.226
"yang",1,"m",56.78,17.039,8.58,6.02,14.776,1.862,3.431,11.628
"yang",1,"m",55.03,15.795,8.473,5.95,14.073,1.297,3.386,10.56
"yang",1,"m",53.27,14.861,7.657,5.39,13.184,1.297,3.009,10.718
"yang",1,"f",57.18,11.641,6.513,4.56,10.563,0.789,2.368,9.165
"yang",1,"f",48.54,12.567,6.836,5.21,11.09,1.167,2.623,8.644
"osprey",0,"m",55.77,16.105,8.488,5.32,14.032,1.667,3.31,11.056
"osprey",0,"f",46.7,11.28,6.426,4.4,9.958,0.991,2.179,8.246
"osprey",0,"f",46.3,12.565,6.667,4.49,11.086,1.172,2.514,9.239
"osprey",0,"f",45.97,11.882,6.352,4.29,10.573,1.089,2.215,8.753
"osprey",0,"m",58.73,17.334,8.271,6.13,15.208,1.781,3.399,11.879
"crescent",0,"m",59.48,17.663,9.353,6.29,15.139,2.027,3.233,12.048
"crescent",0,"m",57.03,15.983,8.719,6.09,13.975,1.563,3.651,11.46
"crescent",0,"m",57.83,16.665,8.857,6.09,14.762,1.526,3.715,11.43
"crescent",0,"m",58.47,17.417,9.142,6,15,1.952,3.81,11.999
"crescent",0,"f",48.7,12.989,7.481,5.02,11.064,1.485,2.45,9.269
"crescent",0,"m",58.71,16.897,8.877,6.06,14.577,1.869,3.551,11.4
"crescent",0,"m",59.44,17.605,9.337,6.18,15.243,1.855,3.668,12.474
"crescent",0,"m",57.47,17.111,9.358,5.84,14.803,1.773,3.399,12.058
"crescent",0,"m",56.76,17.057,9.141,5.99,14.833,1.784,3.565,12.132
"n.twin",1,"f",50.54,13.292,7.369,5.29,11.519,1.359,2.749,10.006
"n.twin",1,"m",58.45,16.955,8.526,5.8,14.811,1.716,3.65,11.602
"n.twin",1,"m",59.2,17.896,9.303,5.96,15.51,1.967,3.361,11.912
"n.twin",1,"m",59.07,17.417,9.414,6.12,14.961,1.976,3.956,11.909
"n.twin",1,"m",59.78,17.996,9.401,6.22,15.71,1.83,4.164,12.166
