"island","presence","sex","svl","Mass"
"hornet",0,"m",60.44,3.9
"hornet",0,"f",45.86,1.6
"hornet",0,"m",57.48,3.7
"hornet",0,"f",45.58,1.8
"hornet",0,"m",57.86,3
"hook",1,"m",57.27,2.2
"hook",1,"m",56.93,3.2
"hook",1,"m",57.67,3.8
"hook",1,"f",48.66,2.4
"hook",1,"m",57.92,3.2
"hook",1,"m",57.57,3.7
"hook",1,"f",45.01,2
"hook",1,"m",56.76,3.4
"hook",1,"m",56.03,3.4
"hook",1,"f",46.24,2.1
"hook",1,"m",57.33,2.4
"hook",1,"f",47.37,2
"hook",1,"f",44.18,1.4
"hook",1,"m",60.58,3.9
"hook",1,"m",54.84,2.8
"lizard",1,"m",60.75,4.2
"lizard",1,"m",56.91,3.2
"lizard",1,"m",59.34,3.4
"lizard",1,"m",58.22,3.7
"yin",1,"m",63.32,4.7
"yin",1,"m",57.44,3.6
"yin",1,"m",59.53,2.9
"yin",1,"m",58.43,3.8
"yin",1,"m",56.36,3.3
"yin",1,"f",49.64,2.2
"yin",1,"f",51.89,2.6
"yin",1,"m",59.87,4.2
"yin",1,"m",61.16,4.4
"channel",1,"m",55.31,2.9
"channel",1,"m",58.54,3.4
"s.twin",0,"m",61.86,3.4
"s.twin",0,"m",56.99,3
"s.twin",0,"f",49.57,2.5
"s.twin",0,"m",56.37,3.5
"s.twin",0,"m",57.02,3.2
"channel",1,"m",57.51,2.9
"channel",1,"f",46.38,1.6
"channel",1,"f",44.11,1.6
"n.twin",1,"m",58.22,3.3
"n.twin",1,"m",60.82,3.7
"n.twin",1,"m",58.11,3.2
"n.twin",1,"f",47.9,2.1
"n.twin",1,"m",57.98,3.4
"n.twin",1,"f",48.46,2
"channel",1,"f",43.81,1.6
"osprey",0,"m",58.52,3.4
"osprey",0,"m",55.31,2.7
"osprey",0,"m",58.64,3.2
"osprey",0,"m",55.29,3.2
"osprey",0,"m",56.29,3
"osprey",0,"m",53.34,2.4
"yang",1,"m",60.46,3.9
"yang",1,"m",56.94,2.8
"yang",1,"m",58.43,3.1
"yang",1,"m",55.52,2.9
"yang",1,"m",55.79,2.8
"yang",1,"m",56.43,3
"yang",1,"m",55.84,2.9
"yang",1,"m",56.84,3.1
"yang",1,"m",55.29,2.4
"yang",1,"f",47.81,1.9
"crescent",0,"m",59.85,3.8
"crescent",0,"m",56.65,3.6
"crescent",0,"m",60.92,4.3
"crescent",0,"m",61.17,4.1
"crescent",0,"m",59.2,3.8
"crescent",0,"m",54.26,2.7
"crescent",0,"m",58.32,3
"crescent",0,"m",60.95,3.9
"crescent",0,"m",57.62,3.2
